admit,gre,gpa,rank
0,590,3.685125336,3
1,496,2.085891916,2
0,288,1.366232935,2
1,562,2.75393158,0
1,394,3.506456917,3
0,92,3.338356706,3
1,618,3.550540815,1
0,47,0.22911464,2
1,400,1.640152674,4
1,9,0.844276946,3
0,110,0.443520772,3
1,603,3.64326966,0
0,432,1.933469934,2
0,297,2.246428148,1
1,407,2.401739818,3
1,777,1.447366979,1
1,322,1.084838142,4
0,575,2.466965907,0
0,105,2.061796747,1
0,554,3.184605365,0
1,614,1.034005627,0
1,785,3.001100484,1
0,421,2.250091073,2
1,270,3.767661767,1
0,158,1.849082912,0
1,614,1.629416296,4
0,360,3.858632,3
0,570,0.492179235,1
1,494,1.463543404,0
0,53,2.5054978,3
1,377,0.530577632,0
0,145,2.769638932,1
0,459,2.924568625,4
0,408,2.562850132,4
0,179,1.922691048,2
0,785,0.143437671,3
0,583,1.945029847,1
1,254,1.558784699,3
0,791,3.226380726,2
0,224,2.34762915,1
0,67,1.160841941,2
1,703,3.324316481,1
0,559,2.390400507,2
1,314,2.561499958,3
1,283,0.537373946,4
0,480,2.708178559,3
0,169,0.299730959,2
1,64,3.965830938,2
0,96,0.101668584,3
1,90,3.994819826,1
0,426,2.040480654,4
1,795,3.474801366,3
0,172,3.404484075,0
1,513,3.721243759,2
0,601,3.579880802,2
0,489,0.287471812,1
1,134,3.926140854,1
1,586,2.833559194,2
0,713,3.095928639,0
0,44,1.626776006,0
0,418,0.441078653,2
1,407,1.763266402,3
0,630,3.593430339,4
0,430,3.253785344,1
0,303,1.541745076,3
0,735,2.255727116,1
1,613,1.655155582,0
0,736,2.60777443,2
1,54,0.176601276,4
1,721,2.098381892,1
0,724,1.087762197,1
1,87,1.045599106,3
1,255,1.383970685,2
0,434,1.762387615,1
0,90,3.917905453,3
1,116,2.815686294,1
0,602,3.435398948,1
0,545,2.244622417,3
0,321,0.129705346,1
0,427,3.29312527,2
1,210,3.962873314,3
1,589,3.348804043,1
0,641,2.379808385,4
1,352,2.242757919,3
0,284,3.262576923,2
1,644,1.169942122,4
0,85,0.800929524,3
0,422,3.56098811,4
0,482,3.539559138,3
1,717,1.867932951,4
0,11,0.768148237,3
0,457,2.892924723,3
1,477,1.183560469,2
1,341,2.000624854,0
1,507,3.484060984,0
0,264,1.520878102,1
0,227,1.077646891,1
1,384,2.128665526,2
0,650,1.362021987,3
1,630,0.320293376,1
1,758,0.247622832,0
1,332,0.570846206,2
1,695,0.576119112,2
0,235,0.079137308,1
0,159,1.855682481,1
0,298,3.71753724,4
1,629,1.130082651,0
1,541,1.225119118,1
1,211,1.436889626,1
1,659,2.36247762,1
1,653,2.629954807,4
0,107,1.145485514,2
0,320,2.39900291,3
1,646,0.047727435,1
0,481,0.254132902,2
1,204,3.699100403,4
0,153,2.39297272,2
1,110,2.14504939,1
0,786,0.415711144,3
0,47,2.602330286,3
1,628,1.419019334,1
0,430,0.654991123,0
0,430,0.961209925,3
0,466,1.210518429,2
1,623,1.946689842,0
0,117,3.944223321,3
1,147,1.957929552,3
0,72,3.710911078,0
0,327,3.427968321,3
0,17,1.342710215,3
0,165,2.971619389,3
1,223,2.795901123,1
0,440,2.661277189,3
0,208,3.8220532,4
1,408,0.416924444,1
1,576,2.288080956,1
1,798,2.937859551,4
1,785,2.529848367,3
0,441,1.086246169,1
1,647,2.254039364,1
0,449,3.252014465,0
1,77,2.160345237,1
1,223,1.324954122,1
0,408,0.878571266,3
1,250,3.446847429,4
1,179,1.34020887,2
1,61,2.085455814,1
0,674,1.186277937,4
1,766,2.67554333,2
1,210,2.19498232,1
1,523,3.708294044,3
1,378,0.792068421,2
1,308,1.769268099,3
0,762,3.175565966,1
1,561,3.38297497,0
1,139,2.43109519,1
1,795,3.612010791,2
0,336,0.752183927,1
1,640,0.461226519,2
0,659,0.201699147,2
0,247,0.261146738,3
0,125,3.671275149,2
1,680,0.447296126,3
0,398,1.234478337,3
1,730,3.291464795,3
1,45,1.543030412,1
1,544,0.849514951,2
0,345,3.464212903,2
0,706,3.573626328,3
1,749,3.723068001,3
0,396,2.988517515,1
1,609,3.071279125,4
1,290,1.694486023,2
0,227,2.383813787,3
0,248,3.539677038,4
1,666,0.736537005,1
1,532,1.855807592,2
1,405,1.095477428,4
1,793,2.727672788,1
1,770,2.530825759,3
0,608,0.867063156,1
0,447,2.663775064,1
1,742,0.754261806,2
1,342,0.558491595,4
1,217,0.179111829,2
1,98,1.173184086,2
0,757,0.804107848,3
0,594,2.713711559,2
0,239,1.278386732,2
0,697,2.270378309,1
0,499,3.485494075,4
1,209,3.708848494,0
1,150,2.139791791,4
0,621,0.957786218,2
0,27,1.560610833,2
1,327,1.416146991,1
1,775,1.788753668,2
0,289,0.738101507,3
0,715,2.461603199,3
0,759,3.844292938,3
0,726,2.045873378,2
0,413,0.099211812,2
0,135,0.579312008,4
1,722,1.794924547,3
0,636,1.636185596,3
1,16,3.454980073,2
0,45,2.693830609,1
1,309,2.593277996,3
1,690,0.623548345,3
1,259,3.855690117,1
0,132,3.00020477,0
0,189,3.135332502,2
1,674,3.505846374,2
1,130,0.307936533,1
1,362,1.70120962,3
0,30,2.817253291,1
1,594,3.461141495,0
1,185,2.053792849,1
1,542,0.884345034,2
0,588,0.579630267,4
0,189,2.686891041,2
1,528,0.45098129,4
1,224,0.740745419,2
0,143,1.602814928,2
1,501,1.851987547,4
1,742,2.885122809,4
1,493,0.747811282,3
1,584,3.059706825,2
1,631,2.688513744,3
0,41,3.291985682,2
1,479,2.573093124,3
0,326,0.093025407,1
0,100,2.636743109,2
1,774,1.209309382,3
1,366,3.013391019,2
1,143,2.108983339,2
0,492,2.891978186,0
0,258,0.080782486,2
1,514,0.62501281,2
1,460,3.379228099,3
0,558,2.94469841,0
1,425,3.237998886,3
0,326,3.866445226,3
0,324,1.385027341,1
0,175,2.019245064,2
1,539,1.956556374,2
1,564,1.085871262,3
0,695,1.914038566,1
0,431,1.612580555,3
0,760,0.005009001,2
0,498,1.85445438,2
1,612,1.016528653,2
0,290,0.683508611,3
0,273,1.081740602,1
0,32,0.566692167,1
0,618,0.685973299,4
0,173,3.241352933,1
1,523,1.064310639,2
0,298,2.791815564,3
1,749,2.402975571,3
1,713,0.751181764,1
1,149,1.038542733,1
1,22,3.149959458,1
1,191,0.278994773,3
